id;designation;grade;type;salary;details
1;mobile Fish;6;CONTRACT;9997;Trace
2;Savings Account alarm;1;PERMANENT;83244;red Chips Soap
3;Home Loan Account;1;CONTRACT;39986;Gorgeous Frozen Pants
4;Common;6;PERMANENT;59241;Refined Rubber Chicken Table
5;Automotive;7;CONTRACT;23089;Monitored Bahamian Dollar Investment Account
6;Games Regional Digitized;5;PERMANENT;18485;Facilitator
7;Views e-enable Communications;6;CONTRACT;96117;navigating
8;interactive generating compelling;2;CONTRACT;80219;Small
9;deliverables reinvent 24 hour;1;CONTRACT;60595;Identity
10;Frozen IB;5;CONTRACT;32518;pixel withdrawal
