id;day;is_off;start_time;end
1;SATURDAY;true;Savings Account Dam;Practical Fresh Pants
2;SATURDAY;false;transmitter Implementation Electronics;Soap methodology Albania
3;SATURDAY;false;Gorgeous Frozen Pants;Common
4;FRIDAY;false;HDD;Table Small Frozen Sausages Planner
5;FRIDAY;false;Bahamian Dollar Investment Account;Games Regional Digitized
6;THURSDAY;false;Georgia Industrial;connect Markets Chief
7;THURSDAY;true;Aruba;software scale interactive
8;SUNDAY;false;scalable;Small
9;MONDAY;false;magenta monitor 1080p;Unbranded Plastic Tuna Frozen
10;WEDNESDAY;false;Lempira;pixel withdrawal
